CUI,HGNC ID
C1334498,HGNC:6972
C1334499,HGNC:19970
C1334501,HGNC:7000
C1334502,HGNC:7036
C1334503,HGNC:16982
C1334504,HGNC:7038
C1334505,HGNC:7059
C1334506,HGNC:7060
C1334507,HGNC:7097
C1334508,HGNC:7107
C1334509,HGNC:7110
C1334510,HGNC:7124
C1334511,HGNC:7128
C1334512,HGNC:7133
C1334513,HGNC:7134
C1334515,HGNC:7136
C1334516,HGNC:7137
C1334517,HGNC:7138
C1334518,HGNC:7139
C1334522,HGNC:7166
C1334523,HGNC:7176
C1334525,HGNC:7219
C1334526,HGNC:7220
C1334527,HGNC:7221
C1334528,HGNC:7226
C1334530,HGNC:7237
C1334531,HGNC:7321
C1334532,HGNC:7327
C1334533,HGNC:7371
C1334534,HGNC:7408
C1334535,HGNC:7423
C1334536,HGNC:7534
C1334537,HGNC:7546
C1334538,HGNC:7569
C1334539,HGNC:7590
C1334862,HGNC:7652
C1334863,HGNC:7656
C1334864,HGNC:7665
C1334866,HGNC:7668
C1334867,HGNC:7669
C1334868,HGNC:7670
C1334869,HGNC:15909
C1334870,HGNC:7672
C1334871,HGNC:7673
C1334873,HGNC:7679
C1334874,HGNC:7754
C1334875,HGNC:7761
C1334877,HGNC:7797
C1334878,HGNC:13388
C1334879,HGNC:7809
C1334880,HGNC:7821
C1334882,HGNC:7838
C1334884,HGNC:7843
C1334885,HGNC:7854
C1334886,HGNC:7858
C1334887,HGNC:7859
C1334889,HGNC:7881
C1334890,HGNC:7886
C1334891,HGNC:7887
C1334894,HGNC:7910
C1334895,HGNC:7944
C1334896,HGNC:7961
C1334899,HGNC:7978
C1334901,HGNC:7994
C1334902,HGNC:7998
C1334903,HGNC:7999
C1334904,HGNC:8001
C1334905,HGNC:8004
C1334906,HGNC:8007
C1334907,HGNC:8023
C1334908,HGNC:8029
C1334909,HGNC:8032
C1334910,HGNC:8033
C1334911,HGNC:8059
C1334912,HGNC:8064
C1334913,HGNC:8068
C1335081,HGNC:8125
C1335082,HGNC:8204
C1335083,HGNC:8487
C1335084,HGNC:8488
C1335085,HGNC:8489
C1335086,HGNC:8490
C1335087,HGNC:8491
C1335088,HGNC:17151
C1335092,HGNC:8507
C1335093,HGNC:8506
C1335189,HGNC:16061
C1335190,HGNC:15943
C1335191,HGNC:8614
C1335192,HGNC:8617
C1335193,HGNC:8619
C1335194,HGNC:8621
C1335196,HGNC:8634
C1335197,HGNC:8749
C1335199,HGNC:8759
C1335200,HGNC:8799
C1335201,HGNC:8803
C1335202,HGNC:8804
C1335203,HGNC:8805
C1335204,HGNC:8816
C1335205,HGNC:8823
C1335206,HGNC:8861
C1335207,HGNC:8893
C1335208,HGNC:8912
C1335209,HGNC:13410
C1335210,HGNC:12385
C1335211,HGNC:16861
C1335212,HGNC:8975
C1335213,HGNC:8976
C1335214,HGNC:8978
C1335215,HGNC:8981
C1335216,HGNC:8984
C1335219,HGNC:8997
C1335220,HGNC:8998
C1335221,HGNC:9031
C1335222,HGNC:30142
C1335223,HGNC:9046
C1335224,HGNC:9052
C1335225,HGNC:9056
C1335226,HGNC:9066
C1335227,HGNC:9077
C1335229,HGNC:9123
C1335230,HGNC:9174
C1335231,HGNC:9187
C1335232,HGNC:9208
C1335233,HGNC:9212
C1335234,HGNC:9213
C1335236,HGNC:9228
C1335237,HGNC:9234
C1335238,HGNC:9236
C1335239,HGNC:9240
C1335240,HGNC:9281
C1335241,HGNC:9299
C1335242,HGNC:9300
C1335243,HGNC:9303
C1335244,HGNC:9308
C1335248,HGNC:9312
C1335249,HGNC:9313
C1335253,HGNC:9346
C1335254,HGNC:9348
C1335259,HGNC:9369
C1335261,HGNC:9393
C1335262,HGNC:9413
C1335265,HGNC:9446
C1335267,HGNC:9495
C1335268,HGNC:9527
C1335270,HGNC:9586
C1335271,HGNC:9604
C1335272,HGNC:9607
C1335273,HGNC:9612
C1335274,HGNC:9617
C1335276,HGNC:9618
C1335278,HGNC:9630
C1335279,HGNC:9634
C1335280,HGNC:9644
C1335281,HGNC:9642
C1335283,HGNC:9658
C1335284,HGNC:9659
C1335285,HGNC:9666
C1335286,HGNC:9669
C1335287,HGNC:9671
C1335288,HGNC:9673
C1335289,HGNC:9682
C1335290,HGNC:9701
C1335580,HGNC:9820
C1335588,HGNC:9842
C1335589,HGNC:9854
C1335590,HGNC:9855
C1335591,HGNC:9865
C1335596,HGNC:15828
C1335602,HGNC:9894
C1335604,HGNC:9903
C1335605,HGNC:9928
C1335606,HGNC:9935
C1335607,HGNC:9949
C1335608,HGNC:9950
C1335609,HGNC:9948
C1335610,HGNC:9955
C1335616,HGNC:9998
C1335617,HGNC:9999
C1335620,HGNC:10013
C1335623,HGNC:10019
C1335624,HGNC:10020
C1335625,HGNC:10021
C1335629,HGNC:10056
C1335630,HGNC:10082
C1335631,HGNC:10251
C1335633,HGNC:10256
C1335634,HGNC:10258
C1335635,HGNC:10298
C1335636,HGNC:10303
C1335637,HGNC:10312
C1335638,HGNC:10331
C1335639,HGNC:10364
C1335640,HGNC:10368
C1335641,HGNC:10402
C1335642,HGNC:10416
C1335643,HGNC:10420
C1335645,HGNC:10437
C1335646,HGNC:16963
C1335647,HGNC:17271
C1335648,HGNC:10451
C1335649,HGNC:10452
C1335650,HGNC:16954
C1335652,HGNC:10464
C1335653,HGNC:10467
C1335654,HGNC:10471
C1335655,HGNC:10481
C1335795,HGNC:10488
C1335796,HGNC:10489
C1335797,HGNC:10492
C1335798,HGNC:10499
C1335799,HGNC:10504
C1335803,HGNC:10520
C1335805,HGNC:10575
C1335806,HGNC:10608
C1335807,HGNC:10707
C1335808,HGNC:10720
C1335809,HGNC:10721
C1335810,HGNC:10727
C1335811,HGNC:8945
C1335812,HGNC:10761
C1335813,HGNC:10773
C1335814,HGNC:10778
C1335817,HGNC:16885
C1335818,HGNC:16884
C1335821,HGNC:10840
C1335822,HGNC:18181
C1335823,HGNC:10845
C1335824,HGNC:10848
C1335826,HGNC:15928
C1335828,HGNC:10897
C1335829,HGNC:10898
C1335831,HGNC:10901
C1335833,HGNC:10990
C1335834,HGNC:10991
