GO,CUI
GO:0008995,C1148841
GO:0008996,C1148842
GO:0000171,C1148843
GO:0046589,C1148844
GO:0004549,C1148845
GO:0003723,C1148846
GO:0008312,C1148849
GO:0017091,C1148850
GO:0003725,C1148851
GO:0003726,C1148852
GO:0003729,C1148853
GO:0030350,C1148854
GO:0003730,C1148855
GO:0008143,C1148856
GO:0006380,C1148856
GO:0098789,C1148857
GO:0030363,C1148857
GO:0030365,C1148858
GO:0006379,C1148858
GO:0005848,C1148858
GO:0006378,C1148859
GO:0098789,C1148859
GO:0030364,C1148859
GO:0005847,C1148859
GO:0008187,C1148864
GO:0017131,C1148865
GO:0000339,C1148866
GO:0000340,C1148867
GO:0000342,C1148868
GO:0000341,C1148869
GO:0003724,C1148870
GO:0030555,C1148872
GO:0030561,C1148873
GO:0030562,C1148874
GO:0030563,C1148875
GO:0030564,C1148876
GO:0030558,C1148877
GO:0030559,C1148878
GO:0030565,C1148879
GO:0030560,C1148880
GO:0030556,C1148881
GO:0030566,C1148882
GO:0030557,C1148883
GO:0019843,C1148884
GO:0042134,C1148885
GO:0003727,C1148886
